gpu_util,prefill,mode,stage,vram_gb
0.3,512,cachegen,before_start,0.0
0.3,512,cachegen,after_start,4.8369140625
0.3,512,cachegen,before_request,4.8369140625
0.3,512,cachegen,during_request,4.8369140625
0.3,512,cachegen,after_compression,4.8369140625
0.9,512,native,before_start,0.0
0.9,512,native,after_start,13.5869140625
0.9,512,native,before_request,13.5869140625
0.9,512,native,during_request,13.5869140625
0.9,512,native,after_compression,13.5869140625
0.3,1024,native,before_start,0.0
0.3,1024,native,after_start,4.8369140625
0.3,1024,native,before_request,4.8369140625
0.3,1024,native,during_request,4.8369140625
0.3,1024,native,after_compression,4.8369140625
0.9,256,cachegen,before_start,0.0
0.9,256,cachegen,after_start,13.5869140625
0.9,256,cachegen,before_request,13.5869140625
0.9,256,cachegen,during_request,13.5869140625
0.9,256,cachegen,after_compression,13.5869140625
0.5,512,native,before_start,0.0
0.5,512,native,after_start,7.7744140625
0.5,512,native,before_request,7.7744140625
0.5,512,native,during_request,7.7744140625
0.5,512,native,after_compression,7.7744140625
0.7,128,native,before_start,0.0
0.7,128,native,after_start,10.6806640625
0.7,128,native,before_request,10.6806640625
0.7,128,native,during_request,10.6806640625
0.7,128,native,after_compression,10.6806640625
0.9,128,cachegen,before_start,0.0
0.9,128,cachegen,after_start,13.5869140625
0.9,128,cachegen,before_request,13.5869140625
0.9,128,cachegen,during_request,13.5869140625
0.9,128,cachegen,after_compression,13.5869140625
0.9,1024,cachegen,before_start,0.0
0.9,1024,cachegen,after_start,13.5869140625
0.9,1024,cachegen,before_request,13.5869140625
0.9,1024,cachegen,during_request,13.5869140625
0.9,1024,cachegen,after_compression,13.5869140625
0.3,256,native,before_start,0.0
0.3,256,native,after_start,4.8369140625
0.3,256,native,before_request,4.8369140625
0.3,256,native,during_request,4.8369140625
0.3,256,native,after_compression,4.8369140625
0.9,2048,cachegen,before_start,0.0
0.9,2048,cachegen,after_start,13.5869140625
0.9,2048,cachegen,before_request,13.5869140625
0.9,2048,cachegen,during_request,13.5869140625
0.9,2048,cachegen,after_compression,13.5869140625
0.7,1024,native,before_start,0.0
0.7,1024,native,after_start,10.6806640625
0.7,1024,native,before_request,10.6806640625
0.7,1024,native,during_request,10.6806640625
0.7,1024,native,after_compression,10.6806640625
0.7,128,cachegen,before_start,0.0
0.7,128,cachegen,after_start,10.6806640625
0.7,128,cachegen,before_request,10.6806640625
0.7,128,cachegen,during_request,10.6806640625
0.7,128,cachegen,after_compression,10.6806640625
0.7,512,native,before_start,0.0
0.7,512,native,after_start,10.6806640625
0.7,512,native,before_request,10.6806640625
0.7,512,native,during_request,10.6806640625
0.7,512,native,after_compression,10.6806640625
0.7,1024,cachegen,before_start,0.0
0.7,1024,cachegen,after_start,10.6806640625
0.7,1024,cachegen,before_request,10.6806640625
0.7,1024,cachegen,during_request,10.6806640625
0.7,1024,cachegen,after_compression,10.6806640625
0.5,256,cachegen,before_start,0.0
0.5,256,cachegen,after_start,7.7744140625
0.5,256,cachegen,before_request,7.7744140625
0.5,256,cachegen,during_request,7.7744140625
0.5,256,cachegen,after_compression,7.7744140625
0.7,256,cachegen,before_start,0.0
0.7,256,cachegen,after_start,10.6806640625
0.7,256,cachegen,before_request,10.6806640625
0.7,256,cachegen,during_request,10.6806640625
0.7,256,cachegen,after_compression,10.6806640625
0.7,512,cachegen,before_start,0.0
0.7,512,cachegen,after_start,10.6806640625
0.7,512,cachegen,before_request,10.6806640625
0.7,512,cachegen,during_request,10.6806640625
0.7,512,cachegen,after_compression,10.6806640625
0.5,2048,native,before_start,0.0
0.5,2048,native,after_start,7.7744140625
0.5,2048,native,before_request,7.7744140625
0.5,2048,native,during_request,7.7744140625
0.5,2048,native,after_compression,7.7744140625
0.3,2048,cachegen,before_start,0.0
0.3,2048,cachegen,after_start,4.8369140625
0.3,2048,cachegen,before_request,4.8369140625
0.3,2048,cachegen,during_request,4.8369140625
0.3,2048,cachegen,after_compression,4.8369140625
0.9,512,cachegen,before_start,0.0
0.9,512,cachegen,after_start,13.5869140625
0.9,512,cachegen,before_request,13.5869140625
0.9,512,cachegen,during_request,13.5869140625
0.9,512,cachegen,after_compression,13.5869140625
0.3,256,cachegen,before_start,0.0
0.3,256,cachegen,after_start,4.8369140625
0.3,256,cachegen,before_request,4.8369140625
0.3,256,cachegen,during_request,4.8369140625
0.3,256,cachegen,after_compression,4.8369140625
0.3,1024,cachegen,before_start,0.0
0.3,1024,cachegen,after_start,4.8369140625
0.3,1024,cachegen,before_request,4.8369140625
0.3,1024,cachegen,during_request,4.8369140625
0.3,1024,cachegen,after_compression,4.8369140625
0.9,2048,native,before_start,0.0
0.9,2048,native,after_start,13.5869140625
0.9,2048,native,before_request,13.5869140625
0.9,2048,native,during_request,13.5869140625
0.9,2048,native,after_compression,13.5869140625
0.5,128,native,before_start,0.0
0.5,128,native,after_start,7.7744140625
0.5,128,native,before_request,7.7744140625
0.5,128,native,during_request,7.7744140625
0.5,128,native,after_compression,7.7744140625
0.3,128,native,before_start,0.0
0.3,128,native,after_start,4.8369140625
0.3,128,native,before_request,4.8369140625
0.3,128,native,during_request,4.8369140625
0.3,128,native,after_compression,4.8369140625
0.3,128,cachegen,before_start,0.0
0.3,128,cachegen,after_start,4.8369140625
0.3,128,cachegen,before_request,4.8369140625
0.3,128,cachegen,during_request,4.8369140625
0.3,128,cachegen,after_compression,4.8369140625
0.3,512,native,before_start,0.0
0.3,512,native,after_start,4.8369140625
0.3,512,native,before_request,4.8369140625
0.3,512,native,during_request,4.8369140625
0.3,512,native,after_compression,4.8369140625
0.3,2048,native,before_start,0.0
0.3,2048,native,after_start,4.8369140625
0.3,2048,native,before_request,4.8369140625
0.3,2048,native,during_request,4.8369140625
0.3,2048,native,after_compression,4.8369140625
0.5,512,cachegen,before_start,0.0
0.5,512,cachegen,after_start,7.7744140625
0.5,512,cachegen,before_request,7.7744140625
0.5,512,cachegen,during_request,7.7744140625
0.5,512,cachegen,after_compression,7.7744140625
0.9,1024,native,before_start,0.0
0.9,1024,native,after_start,13.5869140625
0.9,1024,native,before_request,13.5869140625
0.9,1024,native,during_request,13.5869140625
0.9,1024,native,after_compression,13.5869140625
0.7,256,native,before_start,0.0
0.7,256,native,after_start,10.6806640625
0.7,256,native,before_request,10.6806640625
0.7,256,native,during_request,10.6806640625
0.7,256,native,after_compression,10.6806640625
0.5,1024,native,before_start,0.0
0.5,1024,native,after_start,7.7744140625
0.5,1024,native,before_request,7.7744140625
0.5,1024,native,during_request,7.7744140625
0.5,1024,native,after_compression,7.7744140625
0.5,2048,cachegen,before_start,0.0
0.5,2048,cachegen,after_start,7.7744140625
0.5,2048,cachegen,before_request,7.7744140625
0.5,2048,cachegen,during_request,7.7744140625
0.5,2048,cachegen,after_compression,7.7744140625
0.7,2048,native,before_start,0.0
0.7,2048,native,after_start,10.6806640625
0.7,2048,native,before_request,10.6806640625
0.7,2048,native,during_request,10.6806640625
0.7,2048,native,after_compression,10.6806640625
0.7,2048,cachegen,before_start,0.0
0.7,2048,cachegen,after_start,10.6806640625
0.7,2048,cachegen,before_request,10.6806640625
0.7,2048,cachegen,during_request,10.6806640625
0.7,2048,cachegen,after_compression,10.6806640625
0.5,256,native,before_start,0.0
0.5,256,native,after_start,7.7744140625
0.5,256,native,before_request,7.7744140625
0.5,256,native,during_request,7.7744140625
0.5,256,native,after_compression,7.7744140625
0.5,128,cachegen,before_start,0.0
0.5,128,cachegen,after_start,7.7744140625
0.5,128,cachegen,before_request,7.7744140625
0.5,128,cachegen,during_request,7.7744140625
0.5,128,cachegen,after_compression,7.7744140625
0.5,1024,cachegen,before_start,0.0
0.5,1024,cachegen,after_start,7.7744140625
0.5,1024,cachegen,before_request,7.7744140625
0.5,1024,cachegen,during_request,7.7744140625
0.5,1024,cachegen,after_compression,7.7744140625
0.9,256,native,before_start,0.0
0.9,256,native,after_start,13.5869140625
0.9,256,native,before_request,13.5869140625
0.9,256,native,during_request,13.5869140625
0.9,256,native,after_compression,13.5869140625
0.9,128,native,before_start,0.0
0.9,128,native,after_start,13.5869140625
0.9,128,native,before_request,13.5869140625
0.9,128,native,during_request,13.5869140625
0.9,128,native,after_compression,13.5869140625
